Mineral_Name,Mineral_Name_plain,Mineral_Name_(HTML),Structural_Groupname,Valence_Elements,Oldest_Known_Age_Ma,Fe_AMCSD,Co_AMCSD,Cu_AMCSD,Mn_AMCSD,Mo_AMCSD,Ni_AMCSD,V_AMCSD,W_AMCSD,Zn_AMCSD,Retrieved(Y/N)
,Mangani-obertiite,Mangani-obertiite,Amphibole,Na Mg Mn^3+ Ti^4+ Si O,0.4,NA,,,,,,,,,
Potassic-ferro-pargasite,Potassic-ferro-pargasite,Potassic-ferro-pargasite,Amphibole,K Ca Fe^2+ Al Si O H,0.4,,NA,NA,NA,NA,NA,NA,NA,NA,
Ferro-taramite,Ferro-taramite,Ferro-taramite,Amphibole,Na Ca Fe^2+ Al Si O H,,,NA,NA,NA,NA,NA,NA,NA,NA,
Potassic-ferro-taramite,Potassic-ferro-taramite,Potassic-ferro-taramite,Amphibole,K Na Ca Fe^2+ Al Si O H,,,NA,NA,NA,NA,NA,NA,NA,NA,
Potassic-fluoro-hastingsite,Potassic-fluoro-hastingsite,Potassic-fluoro-hastingsite,Amphibole,K Ca Fe^2+ Fe^3+ Si Al O F,,,NA,NA,NA,NA,NA,NA,NA,NA,
Ferri-pedrizite,Ferri-pedrizite,Ferri-pedrizite,Amphibole-amphiboles Na-Ca-Mg-Fe-Mn-Li,Na Li Fe^3+ Mg Si O H,307,,NA,NA,NA,NA,NA,NA,NA,NA,
Fluoro-riebeckite,Fluoro-riebeckite,Fluoro-riebeckite,Amphibole-amphiboles sodic,Na Fe^2+ Fe^3+ Si O F,2072,,NA,NA,NA,NA,NA,NA,NA,NA,
Ferri-fluoro-katophorite,Ferri-fluoro-katophorite,Ferri-fluoro-katophorite,Amphibole-amphiboles sodic-calcic,Na Ca Mg Fe^3+ Si Al O F,1050,,NA,NA,NA,NA,NA,NA,NA,NA,
,Olivenite,Olivenite,Andalusite,Cu^2+ As^5+ O H,2709,NA,,,,,,,,,
,Adamite,Adamite,Andalusite,Zn^2+ As^5+ O H,2700,NA,,,,,,,,,
,Libethenite,Libethenite,Andalusite,Cu^2+ P O H,2622,NA,,,,,,,,,
,Eveite,Eveite,Andalusite,Mn^2+ As^5+ O H,1898,NA,,,,,,,,,
,Zincolibethenite,Zincolibethenite,Andalusite,Cu^2+ Zn^2+ P^5+ O H,1861,NA,,,,,,,,,
,Zincolivenite,Zincolivenite,Andalusite,Cu^2+ Zn^2+ As^5+ O H,1861,NA,,,,,,,,,
Auriacusite,Auriacusite,Auriacusite,Andalusite,Fe^3+ Cu^2+ As^5+ O,387,FE_SUB,NA,14650,NA,NA,NA,NA,NA,NA,N
,Kanonaite,Kanonaite,Andalusite,Mn^3+ Al O Si,,NA,,,,,,,,,
,Andyrobertsite,Andyrobertsite,Andyrobertsite,K Cd^2+ Cu^2+ As^5+ O H,541,NA,,,,,,,,,
,Calcioandyrobertsite,Calcioandyrobertsite,Andyrobertsite,K Ca Cu^2+ As^5+ O H,541,NA,,,,,,,,,
,Anthoinite,Anthoinite,Anthoinite,Al W^6+ O H,95,NA,,,,,,,,,
,Vanadinite,Vanadinite,Apatite,Pb^2+ V^5+ O Cl,3350,NA,,,,,,,,,
,Pieczkaite,Pieczkaite,Apatite,Mn^2+ P O Cl,2772,NA,,,,,,,,,
,Parafiniukite,Parafiniukite,Apatite,Ca Mn^2+ P O Cl,,NA,,,,,,,,,
,Ardennite-(As),Ardennite-(As),Ardennite,Mn^2+ Al Mg As^5+ O Si H,2000,NA,,,,,,,,,
,Sursassite,Sursassite,Ardennite,Mn^2+ Al Si O H,541,NA,,,,,,,,,
Cassagnaite,Cassagnaite,Cassagnaite,Ardennite,Ca Fe^3+ V^3+ O H Si,100,FE_SUB,NA,NA,NA,NA,NA,V_SUB,NA,NA,N
,Lavoisierite,Lavoisierite,Ardennite,Mn^2+ Al Mn^3+ Mg Si P O H,,NA,,,,,,,,,
,Putzite,Putzite,Argyrodite,Cu Ag Ge S,9,NA,,,,,,,,,
,Dickinsonite-(KMnNa),Dickinsonite-(KMnNa),Arrojadite,K Na Mn^2+ Ca Al P O H,2772,NA,,,,,,,,,
Arrojadite-(KFe),Arrojadite-(KFe),Arrojadite-(KFe),Arrojadite,K Na Fe^2+ Ca Al P O H,2046,846,NA,NA,NA,NA,NA,NA,NA,NA,N
Arrojadite-(BaFe),Arrojadite-(BaFe),Arrojadite-(BaFe),Arrojadite,Ba Fe^2+ Ca Na Al P O H,2000,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
Arrojadite-(SrFe),Arrojadite-(SrFe),Arrojadite-(SrFe),Arrojadite,Sr Fe^2+ Ca Na Al P O H,561,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
Arrojadite-(KNa),Arrojadite-(KNa),Arrojadite-(KNa),Arrojadite,K Na Ca Fe^2+ Al P O H,215,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
,Robertsite,Robertsite,Arseniosiderite,Ca Mn^3+ O P H,2840,NA,,,,,,,,,
Mitridatite,Mitridatite,Mitridatite,Arseniosiderite,Ca Fe^3+ O P H,2527,,NA,NA,NA,NA,NA,NA,NA,NA,
,Sailaufite,Sailaufite,Arseniosiderite,Ca Na Mn^3+ O As^5+ C H,161,NA,,,,,,,,,
,Gatehouseite,Gatehouseite,Arsenoclasite,Mn^2+ P O H,2400,NA,,,,,,,,,
,Arsenoclasite,Arsenoclasite,Arsenoclasite,Mn^2+ As^5+ O H,1890,NA,,,,,,,,,
Arsenopyrite,Arsenopyrite,Arsenopyrite,Arsenopyrite,Fe^3+ As S,4000,112,NA,NA,NA,NA,NA,NA,NA,NA,N
Glaucodot,Glaucodot,Glaucodot,Arsenopyrite,Co^3+ Fe^3+ As S,3074,,,NA,NA,NA,NA,NA,NA,NA,
Gudmundite,Gudmundite,Gudmundite,Arsenopyrite,Fe Sb S,3026,,NA,NA,NA,NA,NA,NA,NA,NA,
,Bermanite,Bermanite,Arthurite,Mn^2+ Mn^3+ P O H,1795,NA,,,,,,,,,
Ojuelaite,Ojuelaite,Ojuelaite,Arthurite,Zn^2+ Fe^3+ As^5+ O H,1710,,NA,NA,NA,NA,NA,NA,NA,,
Whitmoreite,Whitmoreite,Whitmoreite,Arthurite,Fe^2+ Fe^3+ P O H,1702,,NA,NA,NA,NA,NA,NA,NA,NA,
Bendadaite,Bendadaite,Bendadaite,Arthurite,Fe^2+ Fe^3+ As^5+ O H,630,15896,NA,NA,NA,NA,NA,NA,NA,NA,N
Arthurite,Arthurite,Arthurite,Arthurite,Cu^2+ Fe^3+ As^5+ O H,541,14708,NA,14708,NA,NA,NA,NA,NA,NA,N
Cobaltarthurite,Cobaltarthurite,Cobaltarthurite,Arthurite,Co^2+ Fe^3+ As^5+ O H,310.4,6049,CO_SUB,NA,NA,NA,NA,NA,NA,NA,N
,Coralloite,Coralloite,Arthurite,Mn^2+ Mn^3+ As^5+ O H,65,NA,,,,,,,,,
Astrophyllite,Astrophyllite,Astrophyllite,Astrophyllite-Astrophyllite,K Na Fe^2+ Ti^4+ Si O H F,2500,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
Niobophyllite,Niobophyllite,Niobophyllite,Astrophyllite-Astrophyllite,K Na Fe^2+ Nb^5+ Ti^4+ Si O H F,2500,,NA,NA,NA,NA,NA,NA,NA,NA,
Nalivkinite,Nalivkinite,Nalivkinite,Astrophyllite-Astrophyllite,Li Na Fe^2+ Ti^4+ Si O H F,359,,NA,NA,NA,NA,NA,NA,NA,NA,
Tarbagataite,Tarbagataite,Tarbagataite,Astrophyllite-Astrophyllite,K Ca Fe^2+ Ti^4+ Si O H,272,,NA,NA,NA,NA,NA,NA,NA,NA,
Devitoite,Devitoite,Devitoite,Astrophyllite-Devitoite,Ba Fe^2+ Fe^3+ Si O P C H,542,,NA,NA,NA,NA,NA,NA,NA,NA,
Lobanovite,Lobanovite,Lobanovite,Astrophyllite-Devitoite,K Na Fe^2+ Mg Ti^4+ Si O H,418,,NA,NA,NA,NA,NA,NA,NA,NA,
Sveinbergeite,Sveinbergeite,Sveinbergeite,Astrophyllite-Devitoite,H O Ca Fe^2+ Fe^3+ Ti^4+ Si,,,NA,NA,NA,NA,NA,NA,NA,NA,
,Kupletskite,Kupletskite,Astrophyllite-Kupletskite,K Na Mn^2+ Ti^4+ Si O H F,2500,NA,,,,,,,,,
,Kupletskite-(Cs),Kupletskite-(Cs),Astrophyllite-Kupletskite,Cs^1+ Na Mn^2+ Ti^4+ Si O H F,359,NA,,,,,,,,,
,Niobokupletskite,Niobokupletskite,Astrophyllite-Kupletskite,K Na Mn^2+ Nb^5+ Ti^4+ Si O H F,124,NA,,,,,,,,,
,Atacamite,Atacamite,Atacamite,Cu^2+ Cl O H,3200,NA,,,,,,,,,
,Herbertsmithite,Herbertsmithite,Atacamite,Cu^2+ Zn^2+ O H Cl,3200,NA,,,,,,,,,
,Paratacamite,Paratacamite,Atacamite,Cu^2+ Zn^2+ Cl O H,3200,NA,,,,,,,,,
,Clinoatacamite,Clinoatacamite,Atacamite,Cu^2+ Cl O H,2709,NA,,,,,,,,,
,Gillardite,Gillardite,Atacamite,Cu^2+ Ni^2+ Cl^1- O H,2709,NA,,,,,,,,,
,Paratacamite-(Ni),Paratacamite-(Ni),Atacamite,Cu^2+ Ni^2+ Cl O H,1847,NA,,,,,,,,,
,Botallackite,Botallackite,Atacamite,Cu^2+ Cl O H,1600,NA,,,,,,,,,
,Leverettite,Leverettite,Atacamite,Cu^2+ Co^2+ Cl O H,174,NA,,,,,,,,,
,Kapellasite,Kapellasite,Atacamite,Cu^2+ Zn^2+ O H Cl^1-,20.2,NA,,,,,,,,,
,Tondiite,Tondiite,Atacamite,Cu^2+ Mg Cl O H,0.4,NA,,,,,,,,,
,Haydeeite,Haydeeite,Atacamite,Cu^2+ Mg O H Cl^1-,,NA,,,,,,,,,
,Paratacamite-(Mg),Paratacamite-(Mg),Atacamite,Cu^2+ Mg Cl O H,,NA,,,,,,,,,
,Hechtsbergite,Hechtsbergite,Atelestite,Bi^3+ O V^5+ H,960,NA,,,,,,,,,
,Aubertite,Aubertite,Aubertite,Cu^2+ Al S O Cl H,470,NA,,,,,,,,,
,Zeunerite,Zeunerite,Autunite,Cu^2+ U^6+ O As^5+ H,1510,NA,,,,,,,,,
,Rauchite,Rauchite,Autunite,Ni^2+ U^6+ O As^5+ H,356,NA,,,,,,,,,
Axinite-(Fe),Axinite-(Fe),Axinite-(Fe),Axinite,Ca Fe^2+ Al B Si O H,3200,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
,Axinite-(Mn),Axinite-(Mn),Axinite,Ca Mn^2+ Al B Si O H,2730,NA,,,,,,,,,
,Tinzenite,Tinzenite,Axinite,Ca Mn^2+ Al B Si O H,247,NA,,,,,,,,,
Barringerite,Barringerite,Barringerite,Barringerite,Fe P,4620,13329,NA,NA,NA,NA,NA,NA,NA,NA,N
,Monipite,Monipite,Barringerite,Mo Ni P,4567.61,NA,,,,,,,,,
Allabogdanite,Allabogdanite,Allabogdanite,Barringerite,Fe Ni P,,FE_SUB,NA,NA,NA,NA,NI_SUB,NA,NA,NA,N
,Hashemite,Hashemite,Baryte,Ba Cr^6+ O,16,NA,,,,,,,,,
Beraunite,Beraunite,Beraunite,Beraunite,Fe^2+ Fe^3+ P O H,2046,19158,NA,NA,NA,NA,NA,NA,NA,NA,N
,Berdesinskiite,Berdesinskiite,Berdesinskiite,V^3+ Ti^4+ O,2500,NA,,,,,,,,,
,Oxyvanite,Oxyvanite,Berdesinskiite,V^3+ V^4+ O,481,NA,,,,,,,,,
Berthierite,Berthierite,Berthierite,Berthierite,Fe^2+ Sb^3+ S^2-,4000,10254,NA,NA,NA,NA,NA,NA,NA,NA,N
Garavellite,Garavellite,Garavellite,Berthierite,Fe^2+ Sb^3+ Bi^3+ S^2-,339.8,,NA,NA,NA,NA,NA,NA,NA,NA,
,Clerite,Clerite,Berthierite,Mn^2+ Sb^3+ S^2-,310,NA,,,,,,,,,
,Gratianite,Gra&#355;ianite,Berthierite,Mn^2+ Bi^3+ S^2-,80.93,NA,,,,,,,,,
Bazzite,Bazzite,Bazzite,Beryl,Be Sc^3+ Fe^3+ Mg Si O Na H,2000,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
Sekaninaite,Sekaninaite,Sekaninaite,Beryl,Fe^2+ Al Si O,1805,,NA,NA,NA,NA,NA,NA,NA,NA,
Ferroindialite,Ferroindialite,Ferroindialite,Beryl,Fe^2+ Mg Al Si O,313,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
Stoppaniite,Stoppaniite,Stoppaniite,Beryl,Fe^3+ Be Si O H,1,,NA,NA,NA,NA,NA,NA,NA,NA,
,Trimerite,Trimerite,Beryllonite,Ca Mn^2+ Be Si O,1825,NA,,,,,,,,,
,Esperite,Esperite,Beryllonite,Pb^2+ Ca Zn^2+ Si O,1349,NA,,,,,,,,,
Betpakdalite-CaCa,Betpakdalite-CaCa,Betpakdalite-CaCa,Betpakdalite,Ca H O Mo^6+ As^5+ Fe^3+,541,5591,NA,NA,NA,5591,NA,NA,NA,NA,N
Betpakdalite-CaMg,Betpakdalite-CaMg,Betpakdalite-CaMg,Betpakdalite,Ca H O Mg Mo^6+ As^5+ Fe^3+,541,19591,NA,NA,NA,19591,NA,NA,NA,NA,N
Obradovicite-NaNa,Obradovicite-NaNa,Obradovicite-NaNa,Betpakdalite,Na H O Mo^6+ As^5+ Fe^3+,35.07,,NA,NA,NA,,NA,NA,NA,NA,
,Bixbyite,Bixbyite,Bixbyite,Mn^3+ O,2400,NA,,,,,,,,,
Perloffite,Perloffite,Perloffite,Bjarebyite,Ba Mn^2+ Fe^3+ P O H,2772,,NA,NA,,NA,NA,NA,NA,NA,
Kulanite,Kulanite,Kulanite,Bjarebyite,Ba Fe^2+ Al P O H,1379,,NA,NA,NA,NA,NA,NA,NA,NA,
,Bjarebyite,Bjarebyite,Bjarebyite,Ba Mn^2+ Al P O H,950,NA,,,,,,,,,
Johntomaite,Johntomaite,Johntomaite,Bjarebyite,Ba Fe^2+ Fe^3+ P^5+ O H,,,NA,NA,NA,NA,NA,NA,NA,NA,
,Changoite,Changoite,Blödite,Na Zn^2+ S^6+ O H,340,NA,,,,,,,,,
,Cobaltoblödite,Cobaltobl&#246;dite,Blödite,Na Co^2+ S^6+ O H,0,NA,,,,,,,,,
,Manganoblodite,Manganobl&#246;dite,Blödite,Na Mn^2+ S O H,0,NA,,,,,,,,,
,Chambersite,Chambersite,Boracite,Mn^2+ B O Cl,359,NA,,,,,,,,,
Congolite,Congolite,Congolite,Boracite,Fe^2+ B O Cl,359,,NA,NA,NA,NA,NA,NA,NA,NA,
Botryogen,Botryogen,Botryogen,Botryogen,Mg Fe^3+ S O H,2500,14694,NA,NA,NA,NA,NA,NA,NA,NA,N
Zincobotryogen,Zincobotryogen,Zincobotryogen,Botryogen,Zn^2+ Fe^3+ S^6+ O H,445,,NA,NA,NA,NA,NA,NA,NA,,
,Bournonite,Bournonite,Bournonite,Cu^1+ Pb^2+ Sb^3+ S^2-,4000,NA,,,,,,,,,
,Seligmannite,Seligmannite,Bournonite,Cu^1+ Pb^2+ As^3+ S^2-,2816,NA,,,,,,,,,
,Bushmakinite,Bushmakinite,Brackebuschite,Pb^2+ Al P^5+ O V^5+ H,4000,NA,,,,,,,,,
,Arsentsumebite,Arsentsumebite,Brackebuschite,Pb^2+ Cu^2+ As^5+ O S H,1861,NA,,,,,,,,,
,Tsumebite,Tsumebite,Brackebuschite,Pb^2+ Cu^2+ P^5+ O S^6+ H,1861,NA,,,,,,,,,
,Brackebuschite,Brackebuschite,Brackebuschite,Pb^2+ Mn^3+ V^5+ O H,1840,NA,,,,,,,,,
Calderonite,Calderonite,Calder&#243;nite,Brackebuschite,Pb^2+ Fe^3+ V^5+ O H,1795,3183,NA,NA,NA,NA,NA,3183,NA,NA,N
Arsenbrackebuschite,Arsenbrackebuschite,Arsenbrackebuschite,Brackebuschite,Pb^2+ Fe^3+ Zn^2+ As^5+ O H,541,FE_SUB,NA,NA,NA,NA,NA,NA,NA,ZN_SUB,N
Gamagarite,Gamagarite,Gamagarite,Brackebuschite,Ba Fe^3+ V^5+ O H,201,,NA,NA,NA,NA,NA,,NA,NA,
Bonshtedtite,Bonshtedtite,Bonshtedtite,Bradleyite,Na Fe^2+ P O C,500,18485,NA,NA,NA,NA,NA,NA,NA,NA,N
,Sidorenkite,Sidorenkite,Bradleyite,Na Mn^2+ P^5+ O C,413.6,NA,,,,,,,,,
,Braunite,Braunite,Braunite,Mn^2+ Mn^3+ Si O,2400,NA,,,,,,,,,
,Gatedalite,Gatedalite,Braunite,Zr^4+ Mn^2+ Mn^3+ Si O,1898,NA,,,,,,,,,
,Neltnerite,Neltnerite,Braunite,Ca Mn^3+ O Si,1060,NA,,,,,,,,,
,Abswurmbachite,Abswurmbachite,Braunite,Cu^2+ Mn^3+ O Si,541,NA,,,,,,,,,
,Brochantite,Brochantite,Brochantite,Cu^2+ S^6+ O H,4000,NA,,,,,,,,,
Shulamitite,Shulamitite,Shulamitite,Brownmillerite,Ca Ti^4+ Fe^3+ Al O,354,,NA,NA,NA,NA,NA,NA,NA,NA,
,Pyrochroite,Pyrochroite,Brucite,Mn^2+ O H,2500,NA,,,,,,,,,
,Theophrastite,Theophrastite,Brucite,Ni^2+ O H,2000,NA,,,,,,,,,
Amakinite,Amakinite,Amakinite,Brucite,Fe^2+ O H,352,11783,NA,NA,NA,NA,NA,NA,NA,NA,N
,Burgessite,Burgessite,Burgessite,Co^2+ H O As^5+,2222.9,NA,,,,,,,,,
,Bussyite-(Ce),Bussyite-(Ce),Bussyite,Na H O Ce^3+ Be Mn^2+ Si F,124,NA,,,,,,,,,
Calcioferrite,Calcioferrite,Calcioferrite,Calcioferrite,Ca Mg Fe^3+ P O H,561,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
Schoonerite,Schoonerite,Schoonerite,Calcioferrite-Schoonerite,Zn^2+ Mn^2+ Fe^2+ Fe^3+ P^5+ O H,630,,NA,NA,,NA,NA,NA,NA,,
Siderite,Siderite,Siderite,Calcite,Fe^2+ C O,4000,,NA,NA,NA,NA,NA,NA,NA,NA,
,Gaspeite,Gasp&#233;ite,Calcite,Ni^2+ C O,3640,NA,,,,,,,,,
,Rhodochrosite,Rhodochrosite,Calcite,Mn^2+ C O,3411,NA,,,,,,,,,
,Smithsonite,Smithsonite,Calcite,Zn^2+ C O,3200,NA,,,,,,,,,
Carminite,Carminite,Carminite,Carminite,Pb Fe^3+ As^5+ O H,1861,14520,NA,NA,NA,NA,NA,NA,NA,NA,N
Sewardite,Sewardite,Sewardite,Carminite,Ca Fe^3+ As^5+ O H,541,,NA,NA,NA,NA,NA,NA,NA,NA,
,Carpholite,Carpholite,Carpholite,Mn^2+ Al Si O H,521,NA,,,,,,,,,
Ferrocarpholite,Ferrocarpholite,Ferrocarpholite,Carpholite,Fe^2+ Al Si O H,350,,NA,NA,NA,NA,NA,NA,NA,NA,
,Vanadiocarpholite,Vanadiocarpholite,Carpholite,Mn^2+ V^3+ Al Si O H,100,NA,,,,,,,,,
,Ashburtonite,Ashburtonite,Cerchiaraite,H Pb^2+ Cu^2+ Si O C Cl,1790,NA,,,,,,,,,
Cerchiaraite-(Fe),Cerchiaraite-(Fe),Cerchiaraite-(Fe),Cerchiaraite,Ba Fe^3+ Si O H Cl,542,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
,Cerchiaraite-(Mn),Cerchiaraite-(Mn),Cerchiaraite,Ba Mn^3+ Si O H Cl,201,NA,,,,,,,,,
,Bobmeyerite,Bobmeyerite,Cerchiaraite,Pb^2+ Al Cu^2+ Si O S^6+ H Cl,22.5,NA,,,,,,,,,
,Chalcanthite,Chalcanthite,Chalcanthite,Cu^2+ S^6+ O H,4000,NA,,,,,,,,,
Siderotil,Siderotil,Siderotil,Chalcanthite,Fe^2+ S^6+ O H,4000,,NA,NA,NA,NA,NA,NA,NA,NA,
,Jokokuite,Jokokuite,Chalcanthite,Mn^2+ S^6+ O H,408,NA,,,,,,,,,
,Chalcoalumite,Chalcoalumite,Chalcoalumite,Cu^2+ Al S^6+ O H,3110,NA,,,,,,,,,
,Ankinovichite,Ankinovichite,Chalcoalumite,Ni^2+ Al V^5+ O H,359,NA,,,,,,,,,
,Alvanite,Alvanite,Chalcoalumite,Zn^2+ Al V^5+ O H,,NA,,,,,,,,,
,Chalcophyllite,Chalcophyllite,Chalcophyllite,Cu^2+ Al As^5+ O S^6+ H,811,NA,,,,,,,,,
Chalcopyrite,Chalcopyrite,Chalcopyrite,Chalcopyrite,Cu^1+ Fe^3+ S^2-,4000,9476,NA,9476,NA,NA,NA,NA,NA,NA,N
Talnakhite,Talnakhite,Talnakhite,Chalcopyrite,Cu Fe S,2906,,NA,,NA,NA,NA,NA,NA,NA,
,Roquesite,Roquesite,Chalcopyrite,Cu^1+ In^3+ S^2-,2716,NA,,,,,,,,,
Mooihoekite,Mooihoekite,Mooihoekite,Chalcopyrite,Cu Fe S,2608.3,,NA,,NA,NA,NA,NA,NA,NA,
Haycockite,Haycockite,Haycockite,Chalcopyrite,Cu Fe S,2461,,NA,,NA,NA,NA,NA,NA,NA,
,Gallite,Gallite,Chalcopyrite,Cu^1+ Ga^3+ S^2-,541,NA,,,,,,,,,
Lenaite,Lenaite,Lenaite,Chalcopyrite,Ag^1+ Fe^3+ S^2-,439.7,,NA,NA,NA,NA,NA,NA,NA,NA,
,Emplectite,Emplectite,Chalcostibite,Cu^1+ Bi^3+ S^2-,3200,NA,,,,,,,,,
,Chalcostibite,Chalcostibite,Chalcostibite,Cu^1+ Sb^3+ S^2-,2969,NA,,,,,,,,,
,Luetheite,Luetheite,Chenevixite,Cu^2+ Al As^5+ O H,1790,NA,,,,,,,,,
Chevkinite-(Ce),Chevkinite-(Ce),Chevkinite-(Ce),Chevkinite,Ce^3+ Ti^4+ Fe^2+ Fe^3+ O Si,2500,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
Perrierite-(Ce),Perrierite-(Ce),Perrierite-(Ce),Chevkinite,Ce^3+ Mg Fe^3+ Ti^4+ O Si,2060,,NA,NA,NA,NA,NA,NA,NA,NA,
Dingdaohengite-(Ce),Dingdaohengite-(Ce),Dingdaohengite-(Ce),Chevkinite,Ce^3+ La^3+ Fe^2+ Ti^4+ Mg Fe^3+ Si O,566,,NA,NA,NA,NA,NA,NA,NA,NA,
Christofschäferite-(Ce),Christofschaferite-(Ce),Christofsch&#228;ferite-(Ce),Chevkinite,Ce^3+ La^3+ Ca Mn^2+ Ti^4+ Fe^3+ Fe^2+ Ti^2+ Si O,354,FE_SUB,NA,NA,MN_SUB,NA,NA,NA,NA,NA,N
Perrierite-(La),Perrierite-(La),Perrierite-(La),Chevkinite,La^3+ Ce^3+ Ca Fe^2+ Ti^4+ Fe^3+ Si O,354,SUB_FE,NA,NA,SUB_MN,NA,NA,NA,NA,NA,
Maoniupingite-(Ce),Maoniupingite-(Ce),Maoniupingite-(Ce),Chevkinite,Ce^3+ Ca Fe^3+ Ti^4+ Fe^2+ Nb^5+ Si O,40.3,,NA,NA,NA,NA,NA,NA,NA,NA,
Hezuolinite,Hezuolinite,Hezuolinite,Chevkinite,Sr Ce^3+ Zr^4+ Ti^4+ O Si,,,NA,NA,NA,NA,NA,NA,NA,NA,
,Polyakovite-(Ce),Polyakovite-(Ce),Chevkinite,Ce^3+ Ca Mg Cr^3+ Ti^4+ Nb^5+ Si O,,NA,,,,,,,,,
,Eosphorite,Eosphorite,Childrenite,Mn^2+ Al P O H,2772,NA,,,,,,,,,
Childrenite,Childrenite,Childrenite,Childrenite,Fe^2+ Al P O H,1702,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
,Chlorophoenicite,Chlorophoenicite,Chlorophoenicite,Mn^2+ Mg Zn^2+ As^5+ O H,1349,NA,,,,,,,,,
,Chlorothionite,Chlorothionite,Chlorothionite,K Cu^2+ S^6+ O Cl,3.60E-05,NA,,,,,,,,,
,Barlowite,Barlowite,Claringbullite,Cu^2+ Br F O H,1575,NA,,,,,,,,,
,Claringbullite,Claringbullite,Claringbullite,Cu^2+ F Cl O H,1575,NA,,,,,,,,,
Pyrosmalite-(Fe),Pyrosmalite-(Fe),Pyrosmalite-(Fe),Clay,Fe^2+ Si O H,4000,,NA,NA,NA,NA,NA,NA,NA,NA,
Stilpnomelane,Stilpnomelane,Stilpnomelane,Clay,K Ca Na Fe^2+ Mg Al Fe^3+ Si O H,2932,,NA,NA,NA,NA,NA,NA,NA,NA,
Annite,Annite,Annite,Clay,K Fe^2+ Al Si O H,2906,2392,NA,NA,NA,NA,NA,NA,NA,NA,N
Chamosite,Chamosite,Chamosite,Clay,Fe^2+ Al Si O H,2858,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
,Pyrosmalite-(Mn),Pyrosmalite-(Mn),Clay,Mn^2+ Si O H Cl,2725,NA,,,,,,,,,
,Bementite,Bementite,Clay,Mn^2+ Si O H,2400,NA,,,,,,,,,
,Friedelite,Friedelite,Clay,Mn^2+ Si O H,2400,NA,,,,,,,,,
Guidottiite,Guidottiite,Guidottiite,Clay,Mn^2+ Fe^3+ Si O H,2400,,NA,NA,,NA,NA,NA,NA,NA,
,Ganophyllite,Ganophyllite,Clay,K Na Mn^2+ Si Al O H,1898,NA,,,,,,,,,
Bannisterite,Bannisterite,Bannisterite,Clay,Ca K Na Mn^2+ Fe^2+ Si Al O H,1861,FE_SUB,NA,NA,MN_SUB,NA,NA,NA,NA,NA,N
Celadonite,Celadonite,Celadonite,Clay,K Mg Fe^3+ Si O H,1846,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
,Schallerite,Schallerite,Clay,Mn^2+ As^3+ Si O H,1825,NA,,,,,,,,,
Yofortierite,Yofortierite,Yofortierite,Clay,Mn^2+ Mg Fe^3+ Si O H,1160,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
,Parsettensite,Parsettensite,Clay,K Na Ca Mn^2+ Mg Si O H,1054,NA,,,,,,,,,
Anandite,Anandite,Anandite,Clay,Ba Fe^2+ Si Fe^3+ O S H,542,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
Wonesite,Wonesite,Wonesite,Clay,Na K Mg Fe^2+ Al Fe^3+ Si O H F,,,NA,NA,NA,NA,NA,NA,NA,NA,
Zussmanite,Zussmanite,Zussmanite,Clay,K Fe^2+ Mg Mn^2+ Fe^3+ Si Al O H,,,NA,NA,,NA,NA,NA,NA,NA,
Epidote,Epidote,Epidote,Clinozoisite,Ca Fe^3+ Al Si O H,4000,,NA,NA,NA,NA,NA,NA,NA,NA,
,Cobaltite,Cobaltite,Cobaltite,Co^3+ As S,4000,NA,,,,,,,,,
,Gersdorffite-Pca21,Gersdorffite-Pca2&lt;sub&gt;1&lt;/sub&gt;,Cobaltite,Ni^3+ As S,,NA,,,,,,,,,
,Cobaltomenite,Cobaltomenite,Cobaltomenite,Co^2+ Se^4+ O H,581,NA,,,,,,,,,
,Ahlfeldite,Ahlfeldite,Cobaltomenite,Ni^2+ Se^4+ O H,416,NA,,,,,,,,,
,Columbite-(Mn),Columbite-(Mn),Columbite,Mn^2+ Nb^5+ O,3293,NA,,,,,,,,,
,Tantalite-(Mn),Tantalite-(Mn),Columbite,Mn^2+ Ta O,3293,NA,,,,,,,,,
Columbite-(Fe),Columbite-(Fe),Columbite-(Fe),Columbite,Fe^2+ Nb^5+ O,3044,,NA,NA,NA,NA,NA,NA,NA,NA,
,Ixiolite,Ixiolite,Columbite,Ta^5+ Mn^2+ Nb^5+ O,2918,NA,,,,,,,,,
