id, type
5aop,1
3psn,1
5c47,1
2kkd,1
3zhy,1
1p8r,1
1jjc,1
1ftc,1
3g3r,1
1ntk,1
4lr8,1
3uv3,1
4fhc,1
2ivo,1
1x71,1
1zjo,1
1qoa,1
4awk,1
1fsa,1
1wgj,1
3amz,1
Parabutlerite-0012131,0
2fje,1
1loa,1
1zp9,1
2bws,1
2yes,1
1w2d,1
2ycm,1
1vjw,1
Dreyerite-0014769,0
1aqs,1
3kem,1
Sengierite-0012070,0
4nji,1
3lhs,1
1gnt,1
2woe,1
2glk,1
2b97,1
5d6s,1
1g20,1
2irx,1
3ng0,1
1g8o,1
4yzg,1
4edg,1
4tzb,1
Seligmannite-0010715,0
2i7f,1
2uza,1
1su8,1
3muc,1
1aor,1
2ban,1
5c3d,1
1gun,1
1bys,1
Papagoite-0014616,0
2o1h,1
Varennesite-0005463,0
3orl,1
1b0y,1
1bgy,1
1put,1
2qjk,1
4id8,1
1yq3,1
1rx2,1
1o7w,1
2yjk,1
1e6a,1
3d31,1
1ppj,1
1b2o,1
4kt0,1
2yfc,1
4ip7,1
2wb1,1
Carminite-0014520,0
1vzt,1
1oa0,1
1xcp,1
3i0f,1
4r0v,1
2v0h,1
2fjc,1
4yty,1
4s3c,1
3zea,1
3uct,1
2xdq,1
Cubanite-0001533,0
2vos,1
2mnr,1
2qvw,1
4ur2,1
1b0m,1
1g5p,1
2nvf,1
1igv,1
1q90,1
2pml,1
3sbp,1
1dj7,1
4ar6,1
3rvo,1
3au8,1
3tr4,1
3d89,1
1j53,1
4me4,1
3sxc,1
2aop,1
Goldichite-0000264,0
Lenaite-0006082,0
1rx8,1
1gz4,1
Plumbojarosite-0005207,0
4njj,1
3x1f,1
4rr2,1
1yux,1
Birchite-0004585,0
Coulsonite-0015774,0
3tbo,1
2bwv,1
2wke,1
1bwe,1
4zkh,1
2a8w,1
4qdw,1
2bww,1
3rhc,1
1y5i,1
4gep,1
4quq,1
2xsj,1
4rvy,1
Alvanite-0014847,0
3sbq,1
2dsx,1
3a05,1
Brandtite-0012042,0
1qob,1
1cje,1
1f5a,1
4gmu,1
2bvm,1
1zth,1
1e9g,1
1l5p,1
1uiv,1
3mfu,1
3uxi,1
Litidionite-0000464,0
Murdochite-0009907,0
4y6p,1
Liroconite-0010249,0
2h89,1
1m34,1
1hv9,1
3zi0,1
2w3s,1
1wsf,1
4zkw,1
Jouravskite-0009362,0
Clinochalcomenite-0018480,0
2nvg,1
1p3d,1
1zp0,1
3ir5,1
1lwd,1
2jfr,1
3mq3,1
1fgh,1
Covellite-0015657,0
4zk8,1
1muw,1
2dti,1
Wherryite-0005365,0
4ar4,1
2q96,1
4lre,1
Langbanshyttanite-0018642,0
Kusachiite-0012142,0
1ntz,1
2gvd,1
4omf,1
1h7x,1
3lgb,1
1mun,1
3dt2,1
1ogy,1
1r0j,1
5h8w,1
3mof,1
2vor,1
3n10,1
1a0c,1
1khe,1
2d2c,1
3azc,1
5c3b,1
2fug,1
5c49,1
1smu,1
3pif,1
3qb9,1
1dgj,1
3ryg,1
3ss2,1
2evc,1
2yfi,1
8gep,1
3fkg,1
2de5,1
1b9r,1
2mje,1
1fp6,1
2y0s,1
4zby,1
1e6e,1
1tk6,1
3am9,1
Hedenbergite-0001861,0
4a25,1
4nfw,1
3bvq,1
Pyrochroite-0011790,0
2j5m,1
1eyt,1
1nu1,1
4avl,1
1r27,1
5c2f,1
1fxr,1
3exh,1
4ytz,1
3s2q,1
4klr,1
4urh,1
1qh8,1
Krupkaite-0014750,0
Stranskiite-0010699,0
4amf,1
4jka,1
4x4o,1
1cpo,1
Pentagonite-0019265,0
1c4c,1
2ons,1
1ewy,1
Laueite-0000140,0
Callaghanite-0000388,0
4aay,1
2qb0,1
1j54,1
3ig4,1
Schafarzikite-0015656,0
Hodgkinsonite-0015595,0
4hqn,1
4o02,1
1roe,1
1t9o,1
1amf,1
3gnx,1
3dnf,1
2xmu,1
2vgi,1
3ujq,1
4ylf,1
2xv1,1
2who,1
5bvg,1
4xk8,1
4fhg,1
1vzx,1
1y5n,1
2y1e,1
4mn9,1
1lko,1
3pwf,1
1jai,1
2nw9,1
4gno,1
4zoh,1
3bvk,1
1mqw,1
1f52,1
4c2s,1
2ht9,1
1khw,1
4uqu,1
3nvw,1
4czo,1
1x7x,1
Paravauxite-0014737,0
1lm1,1
4bul,1
3n4a,1
1tl7,1
1b25,1
2c3u,1
2ong,1
2qb5,1
Marthozite-0005722,0
3ns1,1
4alf,1
1y5l,1
1omz,1
Johannite-0015685,0
3min,1
1khb,1
1l9g,1
3cij,1
4y28,1
1sqq,1
Hydroniumjarosite-0008878,0
3oo0,1
2a8u,1
1ubl,1
4c80,1
2bmr,1
1iro,1
1c30,1
2x6n,1
2pu9,1
2onh,1
2be2,1
3ks5,1
1gnl,1
1l5j,1
3vks,1
4gnq,1
4ueq,1
3srz,1
1yv1,1
1cw4,1
1gz3,1
3zf2,1
4u0o,1
Danalite-0005895,0
Chalcopyrite-0018622,0
2gu7,1
4czp,1
1vlb,1
2a5h,1
3sxe,1
Conichalcite-0010485,0
1ubj,1
1gx6,1
2ivf,1
1vsf,1
3pni,1
2y8n,1
1kfy,1
2jio,1
4e19,1
2ws3,1
4r43,1
Phosphophyllite-0000588,0
Yavapaiite-0000295,0
Haradaite-0014413,0
2rsq,1
1kqg,1
3vkp,1
4mcw,1
4tkv,1
5exd,1
3ayz,1
2a8p,1
Rodalquilarite-0009361,0
3rgt,1
2iaj,1
2apc,1
1e7p,1
3cf4,1
3or2,1
Markascherite-0018649,0
2azd,1
Henmilite-0001050,0
1r80,1
2cj1,1
3usc,1
Agaite-0019782,0
Butlerite-0000232,0
Pinalite-0002460,0
1ekj,1
2b3x,1
4hsl,1
4fhf,1
4nba,1
4zbx,1
1dfd,1
1twc,1
4kl8,1
Rasvumite-0000782,0
4d69,1
3gkq,1
5b0z,1
2ciw,1
1foa,1
4pst,1
3bz8,1
2cpo,1
2po7,1
Scorodite-0018660,0
1ui0,1
1qvs,1
2q95,1
3ke6,1
2muc,1
3exy,1
3zyy,1
Brackebuschite-0005530,0
2w3r,1
1gq2,1
5h8c,1
1o7h,1
1su7,1
1dfx,1
2y1f,1
4hgp,1
3k6w,1
2wtl,1
1ips,1
1c3o,1
2abk,1
3vmh,1
4zkx,1
1gx0,1
4qh9,1
3b0n,1
4a8l,1
1h7q,1
Fairfieldite-0009374,0
2yfl,1
2wqy,1
1e10,1
1feh,1
4dmw,1
3zf6,1
3hkz,1
5gep,1
3a04,1
5c3a,1
1ubr,1
2y4l,1
1i95,1
3lw5,1
2bcc,1
1sj1,1
Powellite-0013207,0
1bo6,1
1yfu,1
1txo,1
4ixk,1
Schoonerite-0000562,0
1b0v,1
Hentschelite-0010052,0
2vpy,1
3fc4,1
Corkite-0014810,0
4qkd,1
5fpv,1
1hi0,1
1be3,1
2hu9,1
3lxf,1
Leningradite-0006144,0
2yiv,1
1sqp,1
4c7y,1
Pyrophanite-0007448,0
1r8c,1
2c3y,1
Bornite-0003822,0
4xdc,1
4mmx,1
1sof,1
1l6m,1
4ue6,1
1rfk,1
1ea0,1
1ep2,1
2fla,1
Siderite-0000101,0
2q94,1
4zwu,1
1olt,1
4rku,1
2au7,1
1t9q,1
1pj3,1
3p63,1
3uwm,1
1jfz,1
4kmm,1
4wes,1
3hcn,1
3cmp,1
1c4a,1
3taz,1
2y1v,1
3sx7,1
2ibz,1
3mm5,1
5cdp,1
Linarite-0006293,0
1yd3,1
1siz,1
2j3m,1
4nbc,1
3a7j,1
2ybb,1
5cdn,1
1dck,1
1f1h,1
Volborthite-0018666,0
1ro6,1
4rgc,1
3a39,1
2boq,1
3o3n,1
3mmc,1
Miharaite-0012478,0
1l0l,1
2wci,1
1uwv,1
Pyrite-0000605,0
1qyb,1
4jyf,1
1onp,1
4nyn,1
3mr1,1
4rh0,1
1pkn,1
Cuprite-0007351,0
3iix,1
1s5m,1
4g3q,1
4gik,1
3lpq,1
1lzj,1
3qcz,1
3fnv,1
1ohw,1
4jxc,1
1twa,1
2v2k,1
Erdite-0000785,0
2c3o,1
1nb6,1
4uql,1
2fjb,1
Gaspeite-0000105,0
4tku,1
4ggk,1
4h44,1
1mud,1
1si1,1
1f3w,1
1gn8,1
Metazeunerite-0005833,0
1zj8,1
Bunsenite-0011371,0
Scottyite-0010169,0
2j19,1
3l4p,1
1j7b,1
1lkm,1
1g8j,1
4pss,1
1q16,1
1mr2,1
4frb,1
1i96,1
2xrx,1
3lp3,1
2jla,1
Carrollite-0013181,0
1yuz,1
1g0i,1
